"Row.names","data","etanol_blr","gasolina_blr","acucar_blr","acucar_usd","dolar_blr","brent_usd","rbob_usd","predicted_value","error_value"
"10",2022-09-10,3.34,4.89,125.13,18.22,5.1462,92.84,2.3376,3.41312577027302,-0.0731257702730237
"11",2022-09-17,3.25,4.83,123.9,17.88,5.2531,91.35,2.3169,3.33949573287278,-0.0894957328727846
"12",2022-10-01,3.21,4.7,124.41,18.42,5.4154,87.96,2.2366,3.33846721869871,-0.128467218698705
"13",2022-10-08,3.26,4.69,125.56,18.68,5.1996,97.92,2.5387,3.2462840018765,0.0137159981234958
"14",2022-10-15,3.35,4.72,126.19,18.84,5.3252,90.15,2.3922,3.28152296584383,0.0684770341561731
"15",2022-10-22,3.46,4.76,128.46,18.38,5.1605,91.34,2.4093,3.20100859573211,0.258991404267886
"16",2022-10-29,3.58,4.84,128.75,17.58,5.2949,95.77,2.4909,3.20534397849899,0.374656021501012
"17",2022-11-05,3.64,4.88,129.13,18.71,5.0557,98.57,2.6489,3.2496432873094,0.390356712690597
"18",2022-11-12,3.72,4.9,130.01,19.64,5.325,95.99,2.5556,3.48873399524314,0.23126600475686
"19",2022-11-19,3.77,4.91,131.93,20.05,5.3827,87.62,2.351,3.56492882196781,0.205071178032186
"20",2022-11-26,3.78,4.93,135.54,19.33,5.4098,83.63,2.3282,3.35423890903324,0.425761090966759
"5",2022-08-06,3.89,5.52,129.61,17.94,5.1646,94.92,2.3943,4.06200735609933,-0.172007356099326
"6",2022-08-13,3.83,5.39,129.94,18.6,5.0735,98.15,2.5707,3.82246049027033,0.00753950972967132
"7",2022-08-20,3.78,5.29,127.74,18.09,5.1697,96.72,2.5676,3.62444216166616,0.155557838333839
"8",2022-08-27,3.64,5.12,127.73,18.47,5.0601,99.01,2.5112,3.5967712012327,0.043228798767299
"9",2022-09-03,3.5,5.04,122.73,18.15,5.1681,93.02,2.3344,3.60374547566059,-0.103745475660586
